----------REPORTE PRODUCTOS-----------

Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: ssss
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: hhhhh
Existencia: 13
Codigo: PR-1000
Producto: perecedero1
Existencia: 1
Codigo: PR-1000
Producto: perecedero2
Existencia: 1
Codigo: PR-1000
Producto: perecedero3
Existencia: 1
Codigo: PR-1000
Producto: Arroz
Existencia: 54
Codigo: PR-1000
Producto: Leche
Existencia: 25
Codigo: PR-1000
Producto: Leche
Existencia: 50
Codigo: PR-1000
Producto: Pan
Existencia: 45
Codigo: PR-1000
Producto: Galletas
Existencia: 20
Codigo: PR-1000
Producto: Queso
Existencia: 80----------REPORTE PRODUCTOS-----------

Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: ssss
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: hhhhh
Existencia: 13
Codigo: PR-1000
Producto: perecedero1
Existencia: 1
Codigo: PR-1000
Producto: perecedero2
Existencia: 1
Codigo: PR-1000
Producto: perecedero3
Existencia: 1
Codigo: PR-1000
Producto: Arroz
Existencia: 54
Codigo: PR-1000
Producto: Leche
Existencia: 25
Codigo: PR-1000
Producto: Leche
Existencia: 50
Codigo: PR-1000
Producto: Pan
Existencia: 45
Codigo: PR-1000
Producto: Galletas
Existencia: 20
Codigo: PR-1000
Producto: Queso
Existencia: 80
Codigo: PR-1000
Producto: adfa
Existencia: 65----------REPORTE PRODUCTOS-----------

Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: ssss
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: hhhhh
Existencia: 13
Codigo: PR-1000
Producto: perecedero1
Existencia: 1
Codigo: PR-1000
Producto: perecedero2
Existencia: 1
Codigo: PR-1000
Producto: perecedero3
Existencia: 1
Codigo: PR-1000
Producto: Arroz
Existencia: 54
Codigo: PR-1000
Producto: Leche
Existencia: 25
Codigo: PR-1000
Producto: Leche
Existencia: 50
Codigo: PR-1000
Producto: Pan
Existencia: 45
Codigo: PR-1000
Producto: Galletas
Existencia: 20
Codigo: PR-1000
Producto: Queso
Existencia: 80
Codigo: PR-1000
Producto: adfa
Existencia: 65----------REPORTE PRODUCTOS-----------

Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: a
Existencia: 12
Codigo: PR-1000
Producto: ssss
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: ddddd
Existencia: 13
Codigo: PR-1000
Producto: hhhhh
Existencia: 13
Codigo: PR-1000
Producto: perecedero1
Existencia: 1
Codigo: PR-1000
Producto: perecedero2
Existencia: 1
Codigo: PR-1000
Producto: perecedero3
Existencia: 1
Codigo: PR-1000
Producto: Arroz
Existencia: 54
Codigo: PR-1000
Producto: Leche
Existencia: 25
Codigo: PR-1000
Producto: Leche
Existencia: 50
Codigo: PR-1000
Producto: Pan
Existencia: 45
Codigo: PR-1000
Producto: Galletas
Existencia: 20
Codigo: PR-1000
Producto: Queso
Existencia: 80
Codigo: PR-1000
Producto: adfa
Existencia: 65
Codigo: PR-1000
Producto: asdf
Existencia: 84
Codigo: PR-1000
Producto: aasd
Existencia: 5
